id,address,lat,lng,house_no,city,state_code,zip_code
1780,"1720 AL Highway 21 S, Oxford, AL 36203 USA",33.60161,-85.8359,1720,Oxford,AL,36203
313,"828 Highway 33, Pelham, AL 35124 USA",34.30923,-87.3419,828,Pelham,AL,35124
1289,"3318 Pelham Pkwy, Pelham, AL 35124 USA",33.27706,-86.8124,3318,Pelham,AL,35124
1184,"4514 US Highway 80 W, Phenix City, AL 36870 USA",32.4571,-85.194,4514,Phenix City,AL,36870
1583,"5 Ashwood Dr, Phenix City, AL 36867 USA",32.50605,-85.0518,5,Phenix City,AL,36867
1712,"615 US Highway 278 Byp E, Piedmont, AL 36272 USA",33.93299,-85.6228,615,Piedmont,AL,36272
975,"389 McCurdy Ave N, Rainsville, AL 35986 USA",34.49893,-85.8448,389,Rainsville,AL,35986
320,"5676 County Road 203, Rehobeth, AL 36301 USA",31.12598,-85.4489,5676,Rehobeth,AL,36301
384,"22111 State Highway 59 S, Robertsdale, AL 36567 USA",30.54719,-87.7088,22111,Robertsdale,AL,36567
447,"904 Ravenwood Dr, Selma, AL 36701 USA",32.42411,-87.0414,904,Selma,AL,36701
601,"6865 Spanish Fort Blvd, Spanish Fort, AL 36527 USA",30.67128,-87.9046,6865,Spanish Fort,AL,36527
1588,"30161 Woodrow Ln, Spanish Fort, AL 36527 USA",30.66745,-87.8527,30161,Spanish Fort,AL,36527
1885,"34690 US Highway 31, Stapleton, AL 36578 USA",30.73032,-87.7931,34690,Stapleton,AL,36578
1071,"19 Main Street, Sycamore, AL 35149 USA",33.25543,-86.212,19,Sycamore,AL,35149
1946,"58 WW Averitte Dr, Sylacauga, AL 35151 USA",33.14378,-86.4092,58,Sylacauga,AL,35151
1414,"20070 Swanner Blvd, Tanner, AL 35671 USA",34.73071,-86.9649,20070,Tanner,AL,35671
1802,"10148 Old Pascagoula Rd, Theodore, AL 36582 USA",30.53585,-88.2825,10148,Theodore,AL,36582
1343,"15 Summit St, Thorsby, AL 35171 USA",32.91618,-86.7148,15,Thorsby,AL,35171
1690,"9868 Pulaski Pike, Toney, AL 35773 USA",34.90097,-86.6712,9868,Toney,AL,35773
266,"1329 S Brundidge St, Troy, AL 36081 USA",31.78789,-85.9647,1329,Troy,AL,36081
267,"1327 S Brundidge St, Troy, AL 36081 USA",31.78739,-85.9655,1327,Troy,AL,36081
1876,"1117 Highway 231 S, Troy, AL 36081 USA",31.78294,-85.9569,1117,Troy,AL,36081
1056,"108 Baskin St N, Union Springs, AL 36089 USA",32.14436,-85.7181,108,Union Springs,AL,36089
987,"301 US Highway 29 # A, Valley, AL 36854 USA",32.79756,-85.1845,301,Valley,AL,36854
1779,"603 US Highway 29, Valley, AL 36854 USA",32.80437,-85.1801,603,Valley,AL,36854
186,"219 Louisa St, Warrior, AL 35180 USA",33.81173,-86.8105,219,Warrior,AL,35180
47,"60 Redland Rd, Wetumpka, AL 36093 USA",32.46012,-86.1944,60,Wetumpka,AL,36093
638,"795 Wilson St, Wetumpka, AL 36092 USA",32.52646,-86.2056,795,Wetumpka,AL,36092
960,"4784 US Highway 231, Wetumpka, AL 36092 USA",32.51092,-86.2129,4784,Wetumpka,AL,36092
1550,"1686 Wilmer Rd, Wilmer, AL 36587 USA",30.72414,-88.3649,1686,Wilmer,AL,36587
1609,"13281 Moffett Rd, Wilmer, AL 36587 USA",30.82285,-88.3582,13281,Wilmer,AL,36587
733,"1575 US Highway 43, Winfield, AL 35594 USA",33.92943,-87.8257,1575,Winfield,AL,35594
340,"700 4th Ave, York, AL 36925 USA",32.48882,-88.2968,700,York,AL,36925
1640,"1520 Pine St, Arkadelphia, AR 71923 USA",34.12337,-93.0671,1520,Arkadelphia,AR,71923
1651,"3003 Twin Rivers Dr, Arkadelphia, AR 71923 USA",34.12349,-93.0866,3003,Arkadelphia,AR,71923
1733,"1201 N 10th St, Arkadelphia, AR 71923 USA",34.14162,-93.0615,1201,Arkadelphia,AR,71923
390,"603 N Church St, Atkins, AR 72823 USA",35.24768,-92.9381,603,Atkins,AR,72823
21,"2104 Highway 367 N, Bald Knob, AR 72010 USA",35.30416,-91.5776,2104,Bald Knob,AR,72010
795,"1425 S Saint Louis St, Batesville, AR 72501 USA",35.76534,-91.6408,1425,Batesville,AR,72501
1646,"858 N Central Ave, Batesville, AR 72501 USA",35.77616,-91.659,858,Batesville,AR,72501
1559,"3600 Highway 63, Black Rock, AR 72415 USA",36.10711,-91.1136,3600,Black Rock,AR,72415
749,"1166 W Washington St, Camden, AR 71701 USA",33.5853,-92.8508,1166,Camden,AR,71701
1725,"634 N Main St, Cave City, AR 72521 USA",35.94776,-91.5483,634,Cave City,AR,72521
509,"5684 Highway 9, Center Ridge, AR 72027 USA",35.36707,-92.5641,5684,Center Ridge,AR,72027
853,"6720 Heber Springs Rd N, Drasco, AR 72530 USA",35.63376,-91.9464,6720,Drasco,AR,72530
364,"701 E Hillsboro St, El Dorado, AR 71730 USA",33.20689,-92.6566,701,El Dorado,AR,71730
534,"2740 N West Ave, El Dorado, AR 71730 USA",33.2422,-92.666,2740,El Dorado,AR,71730
1200,"3464 W Hillsboro St, El Dorado, AR 71730 USA",33.20862,-92.7153,3464,El Dorado,AR,71730
1249,"1720 N West Ave, El Dorado, AR 71730 USA",33.23006,-92.666,1720,El Dorado,AR,71730
32,"905 E Fordyce St, England, AR 72046 USA",34.54675,-91.96,905,England,AR,72046
1311,"821 E Main St, Flippin, AR 72634 USA",36.27683,-92.5841,821,Flippin,AR,72634
195,"2110 N Washington St, Forrest City, AR 72335 USA",35.02964,-90.7889,2110,Forrest City,AR,72335
485,"101 S Broadview St, Greenbrier, AR 72058 USA",35.2224,-92.389,101,Greenbrier,AR,72058
305,"109 S Lee St, Hampton, AR 71744 USA",33.53726,-92.4692,109,Hampton,AR,71744
1837,"214 S Lee St, Hampton, AR 71744 USA",33.53595,-92.4703,214,Hampton,AR,71744
4,"701 N Main St, Harrison, AR 72601 USA",36.23694,-93.1068,701,Harrison,AR,72601
27,"1413 N 65 Hwy, Harrison, AR 72601 USA",36.18826,-93.0231,1413,Harrison,AR,72601
1305,"917 N 65 Hwy, Harrison, AR 72601 USA",36.25544,-93.1225,917,Harrison,AR,72601
234,"1623 Highway 25B, Heber Springs, AR 72543 USA",35.50868,-92.029,1623,Heber Springs,AR,72543
871,"2 Parkwood Dr, Holiday Island, AR 72631 USA",36.45452,-93.7246,2,Holiday Island,AR,72631
361,"1501 N Hervey St, Hope, AR 71801 USA",33.68013,-93.6048,1501,Hope,AR,71801
785,"815 S Main St, Hope, AR 71801 USA",33.66168,-93.5894,815,Hope,AR,71801
